,Sample_name,R1_file,R2_file,Trimmed_file_F,Trimmed_file_R,Merged_file,Agg_file
10,S12_T0_Both,S12_T0_Both_S12_L001_R1_001.fastq,S12_T0_Both_S12_L001_R2_001.fastq,S12_T0_Both_R1_trim.fastq,S12_T0_Both_R2_trim.fastq,S12_T0_Both.fasta,S12_T0_Both_agg.fasta
11,S12_T1_DMSO,S12_T1_DMSO_S30_L001_R1_001.fastq,S12_T1_DMSO_S30_L001_R2_001.fastq,S12_T1_DMSO_R1_trim.fastq,S12_T1_DMSO_R2_trim.fastq,S12_T1_DMSO.fasta,S12_T1_DMSO_agg.fasta
12,S12_T1_MTX,S12_T1_MTX_S39_L001_R1_001.fastq,S12_T1_MTX_S39_L001_R2_001.fastq,S12_T1_MTX_R1_trim.fastq,S12_T1_MTX_R2_trim.fastq,S12_T1_MTX.fasta,S12_T1_MTX_agg.fasta
13,S12_T2_DMSO,S12_T2_DMSO_S57_L001_R1_001.fastq,S12_T2_DMSO_S57_L001_R2_001.fastq,S12_T2_DMSO_R1_trim.fastq,S12_T2_DMSO_R2_trim.fastq,S12_T2_DMSO.fasta,S12_T2_DMSO_agg.fasta
14,S12_T2_MTX,S12_T2_MTX_S66_L001_R1_001.fastq,S12_T2_MTX_S66_L001_R2_001.fastq,S12_T2_MTX_R1_trim.fastq,S12_T2_MTX_R2_trim.fastq,S12_T2_MTX.fasta,S12_T2_MTX_agg.fasta
15,S13_T0_Both,S13_T0_Both_S13_L001_R1_001.fastq,S13_T0_Both_S13_L001_R2_001.fastq,S13_T0_Both_R1_trim.fastq,S13_T0_Both_R2_trim.fastq,S13_T0_Both.fasta,S13_T0_Both_agg.fasta
16,S13_T1_DMSO,S13_T1_DMSO_S31_L001_R1_001.fastq,S13_T1_DMSO_S31_L001_R2_001.fastq,S13_T1_DMSO_R1_trim.fastq,S13_T1_DMSO_R2_trim.fastq,S13_T1_DMSO.fasta,S13_T1_DMSO_agg.fasta
17,S13_T1_MTX,S13_T1_MTX_S40_L001_R1_001.fastq,S13_T1_MTX_S40_L001_R2_001.fastq,S13_T1_MTX_R1_trim.fastq,S13_T1_MTX_R2_trim.fastq,S13_T1_MTX.fasta,S13_T1_MTX_agg.fasta
18,S13_T2_DMSO,S13_T2_DMSO_S58_L001_R1_001.fastq,S13_T2_DMSO_S58_L001_R2_001.fastq,S13_T2_DMSO_R1_trim.fastq,S13_T2_DMSO_R2_trim.fastq,S13_T2_DMSO.fasta,S13_T2_DMSO_agg.fasta
19,S13_T2_MTX,S13_T2_MTX_S67_L001_R1_001.fastq,S13_T2_MTX_S67_L001_R2_001.fastq,S13_T2_MTX_R1_trim.fastq,S13_T2_MTX_R2_trim.fastq,S13_T2_MTX.fasta,S13_T2_MTX_agg.fasta
20,S14_T0_Both,S14_T0_Both_S14_L001_R1_001.fastq,S14_T0_Both_S14_L001_R2_001.fastq,S14_T0_Both_R1_trim.fastq,S14_T0_Both_R2_trim.fastq,S14_T0_Both.fasta,S14_T0_Both_agg.fasta
21,S14_T1_DMSO,S14_T1_DMSO_S32_L001_R1_001.fastq,S14_T1_DMSO_S32_L001_R2_001.fastq,S14_T1_DMSO_R1_trim.fastq,S14_T1_DMSO_R2_trim.fastq,S14_T1_DMSO.fasta,S14_T1_DMSO_agg.fasta
22,S14_T1_MTX,S14_T1_MTX_S41_L001_R1_001.fastq,S14_T1_MTX_S41_L001_R2_001.fastq,S14_T1_MTX_R1_trim.fastq,S14_T1_MTX_R2_trim.fastq,S14_T1_MTX.fasta,S14_T1_MTX_agg.fasta
23,S14_T2_DMSO,S14_T2_DMSO_S59_L001_R1_001.fastq,S14_T2_DMSO_S59_L001_R2_001.fastq,S14_T2_DMSO_R1_trim.fastq,S14_T2_DMSO_R2_trim.fastq,S14_T2_DMSO.fasta,S14_T2_DMSO_agg.fasta
24,S14_T2_MTX,S14_T2_MTX_S68_L001_R1_001.fastq,S14_T2_MTX_S68_L001_R2_001.fastq,S14_T2_MTX_R1_trim.fastq,S14_T2_MTX_R2_trim.fastq,S14_T2_MTX.fasta,S14_T2_MTX_agg.fasta
25,S15_T0_Both,S15_T0_Both_S15_L001_R1_001.fastq,S15_T0_Both_S15_L001_R2_001.fastq,S15_T0_Both_R1_trim.fastq,S15_T0_Both_R2_trim.fastq,S15_T0_Both.fasta,S15_T0_Both_agg.fasta
26,S15_T1_DMSO,S15_T1_DMSO_S33_L001_R1_001.fastq,S15_T1_DMSO_S33_L001_R2_001.fastq,S15_T1_DMSO_R1_trim.fastq,S15_T1_DMSO_R2_trim.fastq,S15_T1_DMSO.fasta,S15_T1_DMSO_agg.fasta
27,S15_T1_MTX,S15_T1_MTX_S42_L001_R1_001.fastq,S15_T1_MTX_S42_L001_R2_001.fastq,S15_T1_MTX_R1_trim.fastq,S15_T1_MTX_R2_trim.fastq,S15_T1_MTX.fasta,S15_T1_MTX_agg.fasta
28,S15_T2_DMSO,S15_T2_DMSO_S60_L001_R1_001.fastq,S15_T2_DMSO_S60_L001_R2_001.fastq,S15_T2_DMSO_R1_trim.fastq,S15_T2_DMSO_R2_trim.fastq,S15_T2_DMSO.fasta,S15_T2_DMSO_agg.fasta
29,S15_T2_MTX,S15_T2_MTX_S69_L001_R1_001.fastq,S15_T2_MTX_S69_L001_R2_001.fastq,S15_T2_MTX_R1_trim.fastq,S15_T2_MTX_R2_trim.fastq,S15_T2_MTX.fasta,S15_T2_MTX_agg.fasta
30,S16_T0_Both,S16_T0_Both_S16_L001_R1_001.fastq,S16_T0_Both_S16_L001_R2_001.fastq,S16_T0_Both_R1_trim.fastq,S16_T0_Both_R2_trim.fastq,S16_T0_Both.fasta,S16_T0_Both_agg.fasta
31,S16_T1_DMSO,S16_T1_DMSO_S34_L001_R1_001.fastq,S16_T1_DMSO_S34_L001_R2_001.fastq,S16_T1_DMSO_R1_trim.fastq,S16_T1_DMSO_R2_trim.fastq,S16_T1_DMSO.fasta,S16_T1_DMSO_agg.fasta
32,S16_T1_MTX,S16_T1_MTX_S43_L001_R1_001.fastq,S16_T1_MTX_S43_L001_R2_001.fastq,S16_T1_MTX_R1_trim.fastq,S16_T1_MTX_R2_trim.fastq,S16_T1_MTX.fasta,S16_T1_MTX_agg.fasta
33,S16_T2_DMSO,S16_T2_DMSO_S61_L001_R1_001.fastq,S16_T2_DMSO_S61_L001_R2_001.fastq,S16_T2_DMSO_R1_trim.fastq,S16_T2_DMSO_R2_trim.fastq,S16_T2_DMSO.fasta,S16_T2_DMSO_agg.fasta
34,S16_T2_MTX,S16_T2_MTX_S70_L001_R1_001.fastq,S16_T2_MTX_S70_L001_R2_001.fastq,S16_T2_MTX_R1_trim.fastq,S16_T2_MTX_R2_trim.fastq,S16_T2_MTX.fasta,S16_T2_MTX_agg.fasta
